InterfaceID,DateHour,AvgTotalBytes,AvgTotalPackets,AvgAveragebps,AvgOutPercentUtil,AvgInPercentUtil,AvgPercentUtil,MinTotalBytes,MinTotalPackets,MinAveragebps,MinOutPercentUtil,MinInPercentUtil,MinPercentUtil,MaxTotalBytes,MaxTotalPackets,MaxAveragebps,MaxOutPercentUtil,MaxInPercentUtil,MaxPercentUtil,NextHourAlert
8084,10/25/2018 10:00:00 AM,115209704,192578,142287.671875,0.0246049859375,0.003852547265625,0.0142287666015625,115209700,192578,142287.7,0.02460499,0.003852547,0.01422877,115209700,192578,142287.7,0.02460499,0.003852547,0.01422877,0
9045,10/1/2018 6:00:00 AM,15189180416,12574730,705227.8125,7.052278125,7.052278125,7.052278125,15189180000,12574730,705227.8,7.052278,7.052278,7.052278,15189180000,12574730,705227.8,7.052278,7.052278,7.052278,0
8156,10/29/2018 10:00:00 AM,460310144,513678,487179.6875,0.0955651,0.0018708404296875,0.0487179702148438,460310100,513678,487179.7,0.0955651,0.00187084,0.04871797,460310100,513678,487179.7,0.0955651,0.00187084,0.04871797,0
7276,10/31/2018 8:00:00 AM,26338820,119669,27871.451171875,0.003285301953125,0.00228898828125,0.0027871451171875,26338820,119669,27871.45,0.003285302,0.002288988,0.002787145,26338820,119669,27871.45,0.003285302,0.002288988,0.002787145,0
9370,10/22/2018 11:00:00 PM,7031026176,6107984,7439987,1.4454572,0.042540203125,0.7439987015625,7031026000,6107984,7439987,1.445457,0.0425402,0.7439987,7031026000,6107984,7439987,1.445457,0.0425402,0.7439987,0
9408,10/14/2018 7:00:00 PM,496754112,380430,525564.875,5.25564875,5.25564875,5.25564875,496754100,380430,525564.9,5.255649,5.255649,5.255649,496754100,380430,525564.9,5.255649,5.255649,5.255649,0
8156,10/31/2018 12:00:00 PM,374119168,418479,461880.0625,0.08940295625,0.0029730546875,0.04618800546875,374119200,418479,461880.1,0.08940296,0.002973055,0.046188,374119200,418479,461880.1,0.08940296,0.002973055,0.046188,0
8156,10/26/2018 3:00:00 PM,491817376,540457,520216.40625,0.09879973125,0.00524355234375,0.052021641796875,491817400,540457,520216.4,0.09879973,0.005243552,0.05202164,491817400,540457,520216.4,0.09879973,0.005243552,0.05202164,0
8084,10/28/2018 9:00:00 AM,157459712,267904,166620.84375,0.02911025625,0.004213912890625,0.0166620845703125,157459700,267904,166620.8,0.02911026,0.004213913,0.01666209,157459700,267904,166620.8,0.02911026,0.004213913,0.01666209,0
9370,10/12/2018 9:00:00 PM,5451598848,4527278,5768882.5,1.115622,0.038154515625,0.5768882578125,5451599000,4527278,5768883,1.115622,0.03815452,0.5768883,5451599000,4527278,5768883,1.115622,0.03815452,0.5768883,0
